sample,model,condition,words,meanings,response,accuracy,memory_size
14,pursuit,2,f,F,F,1,9.5
14,pursuit,2,g,G,G,1,9.5
14,pursuit,2,h,H,H,1,9.5
14,pursuit,2,i,I,I,1,9.5
14,pursuit,2,j,J,J,1,9.5
14,pursuit,2,k,K,K,1,9.5
14,pursuit,2,l,L,L,1,9.5
14,pursuit,2,m,M,M,1,9.5
14,pursuit,2,n,N,N,1,9.5
14,pursuit,2,o,O,O,1,9.5
14,pursuit,2,p,P,P,1,9.5
14,pursuit,2,q,Q,Q,1,9.5
14,pursuit,2,r,R,R,1,9.5
15,pursuit,2,a,A,A,1,9.5
15,pursuit,2,b,B,B,1,9.5
15,pursuit,2,c,C,H,0,9.5
15,pursuit,2,d,D,D,1,9.5
15,pursuit,2,e,E,E,1,9.5
15,pursuit,2,f,F,F,1,9.5
15,pursuit,2,g,G,G,1,9.5
15,pursuit,2,h,H,H,1,9.5
15,pursuit,2,i,I,I,1,9.5
15,pursuit,2,j,J,J,1,9.5
15,pursuit,2,k,K,K,1,9.5
15,pursuit,2,l,L,L,1,9.5
15,pursuit,2,m,M,M,1,9.5
15,pursuit,2,n,N,N,1,9.5
15,pursuit,2,o,O,O,1,9.5
15,pursuit,2,p,P,P,1,9.5
15,pursuit,2,q,Q,Q,1,9.5
15,pursuit,2,r,R,R,1,9.5
16,pursuit,2,a,A,A,1,9.5
16,pursuit,2,b,B,B,1,9.5
16,pursuit,2,c,C,C,1,9.5
16,pursuit,2,d,D,P,0,9.5
16,pursuit,2,e,E,E,1,9.5
16,pursuit,2,f,F,F,1,9.5
16,pursuit,2,g,G,G,1,9.5
16,pursuit,2,h,H,H,1,9.5
16,pursuit,2,i,I,I,1,9.5
16,pursuit,2,j,J,J,1,9.5
16,pursuit,2,k,K,K,1,9.5
16,pursuit,2,l,L,L,1,9.5
16,pursuit,2,m,M,A,0,9.5
16,pursuit,2,n,N,N,1,9.5
16,pursuit,2,o,O,O,1,9.5
16,pursuit,2,p,P,P,1,9.5
16,pursuit,2,q,Q,Q,1,9.5
16,pursuit,2,r,R,R,1,9.5
17,pursuit,2,a,A,A,1,9.5
17,pursuit,2,b,B,B,1,9.5
17,pursuit,2,c,C,I,0,9.5
17,pursuit,2,d,D,D,1,9.5
17,pursuit,2,e,E,E,1,9.5
17,pursuit,2,f,F,F,1,9.5
17,pursuit,2,g,G,L,0,9.5
17,pursuit,2,h,H,M,0,9.5
17,pursuit,2,i,I,I,1,9.5
17,pursuit,2,j,J,J,1,9.5
17,pursuit,2,k,K,N,0,9.5
17,pursuit,2,l,L,L,1,9.5
17,pursuit,2,m,M,M,1,9.5
17,pursuit,2,n,N,N,1,9.5
17,pursuit,2,o,O,O,1,9.5
17,pursuit,2,p,P,P,1,9.5
17,pursuit,2,q,Q,Q,1,9.5
17,pursuit,2,r,R,R,1,9.5
18,pursuit,2,a,A,A,1,9.5
18,pursuit,2,b,B,B,1,9.5
18,pursuit,2,c,C,C,1,9.5
18,pursuit,2,d,D,D,1,9.5
18,pursuit,2,e,E,E,1,9.5
18,pursuit,2,f,F,F,1,9.5
18,pursuit,2,g,G,E,0,9.5
18,pursuit,2,h,H,H,1,9.5
18,pursuit,2,i,I,I,1,9.5
18,pursuit,2,j,J,J,1,9.5
18,pursuit,2,k,K,K,1,9.5
18,pursuit,2,l,L,L,1,9.5
18,pursuit,2,m,M,M,1,9.5
18,pursuit,2,n,N,N,1,9.5
18,pursuit,2,o,O,O,1,9.5
18,pursuit,2,p,P,P,1,9.5
18,pursuit,2,q,Q,Q,1,9.5
18,pursuit,2,r,R,R,1,9.5
19,pursuit,2,a,A,A,1,9.5
19,pursuit,2,b,B,Q,0,9.5
19,pursuit,2,c,C,D,0,9.5
19,pursuit,2,d,D,D,1,9.5
19,pursuit,2,e,E,E,1,9.5
19,pursuit,2,f,F,P,0,9.5
19,pursuit,2,g,G,G,1,9.5
19,pursuit,2,h,H,H,1,9.5
19,pursuit,2,i,I,I,1,9.5
19,pursuit,2,j,J,J,1,9.5
19,pursuit,2,k,K,K,1,9.5
19,pursuit,2,l,L,L,1,9.5
19,pursuit,2,m,M,M,1,9.5
19,pursuit,2,n,N,N,1,9.5
19,pursuit,2,o,O,O,1,9.5
19,pursuit,2,p,P,P,1,9.5
19,pursuit,2,q,Q,Q,1,9.5
19,pursuit,2,r,R,R,1,9.5
20,pursuit,2,a,A,A,1,9.5
20,pursuit,2,b,B,B,1,9.5
20,pursuit,2,c,C,O,0,9.5
20,pursuit,2,d,D,D,1,9.5
20,pursuit,2,e,E,E,1,9.5
20,pursuit,2,f,F,F,1,9.5
20,pursuit,2,g,G,K,0,9.5
20,pursuit,2,h,H,N,0,9.5
20,pursuit,2,i,I,I,1,9.5
20,pursuit,2,j,J,J,1,9.5
20,pursuit,2,k,K,K,1,9.5
20,pursuit,2,l,L,L,1,9.5
20,pursuit,2,m,M,M,1,9.5
20,pursuit,2,n,N,N,1,9.5
20,pursuit,2,o,O,O,1,9.5
20,pursuit,2,p,P,P,1,9.5
20,pursuit,2,q,Q,Q,1,9.5
20,pursuit,2,r,R,R,1,9.5
21,pursuit,2,a,A,A,1,9.5
21,pursuit,2,b,B,B,1,9.5
21,pursuit,2,c,C,C,1,9.5
21,pursuit,2,d,D,D,1,9.5
21,pursuit,2,e,E,E,1,9.5
21,pursuit,2,f,F,F,1,9.5
21,pursuit,2,g,G,G,1,9.5
21,pursuit,2,h,H,H,1,9.5
21,pursuit,2,i,I,I,1,9.5
21,pursuit,2,j,J,J,1,9.5
21,pursuit,2,k,K,K,1,9.5
21,pursuit,2,l,L,L,1,9.5
21,pursuit,2,m,M,M,1,9.5
21,pursuit,2,n,N,E,0,9.5
21,pursuit,2,o,O,O,1,9.5
21,pursuit,2,p,P,P,1,9.5
21,pursuit,2,q,Q,Q,1,9.5
21,pursuit,2,r,R,R,1,9.5
22,pursuit,2,a,A,E,0,9.5
22,pursuit,2,b,B,B,1,9.5
22,pursuit,2,c,C,C,1,9.5
22,pursuit,2,d,D,D,1,9.5
22,pursuit,2,e,E,M,0,9.5
22,pursuit,2,f,F,F,1,9.5
22,pursuit,2,g,G,G,1,9.5
22,pursuit,2,h,H,A,0,9.5
22,pursuit,2,i,I,I,1,9.5
22,pursuit,2,j,J,J,1,9.5
22,pursuit,2,k,K,K,1,9.5
22,pursuit,2,l,L,L,1,9.5
22,pursuit,2,m,M,M,1,9.5
22,pursuit,2,n,N,N,1,9.5
22,pursuit,2,o,O,O,1,9.5
22,pursuit,2,p,P,P,1,9.5
22,pursuit,2,q,Q,Q,1,9.5
22,pursuit,2,r,R,R,1,9.5
23,pursuit,2,a,A,P,0,9.5
23,pursuit,2,b,B,B,1,9.5
23,pursuit,2,c,C,C,1,9.5
23,pursuit,2,d,D,D,1,9.5
23,pursuit,2,e,E,E,1,9.5
23,pursuit,2,f,F,F,1,9.5
23,pursuit,2,g,G,I,0,9.5
23,pursuit,2,h,H,H,1,9.5
23,pursuit,2,i,I,I,1,9.5
23,pursuit,2,j,J,J,1,9.5
23,pursuit,2,k,K,K,1,9.5
23,pursuit,2,l,L,L,1,9.5
23,pursuit,2,m,M,M,1,9.5
23,pursuit,2,n,N,N,1,9.5
23,pursuit,2,o,O,O,1,9.5
23,pursuit,2,p,P,P,1,9.5
23,pursuit,2,q,Q,Q,1,9.5
23,pursuit,2,r,R,R,1,9.5
24,pursuit,2,a,A,A,1,9.5
24,pursuit,2,b,B,B,1,9.5
24,pursuit,2,c,C,C,1,9.5
24,pursuit,2,d,D,D,1,9.5
24,pursuit,2,e,E,E,1,9.5
24,pursuit,2,f,F,F,1,9.5
24,pursuit,2,g,G,G,1,9.5
24,pursuit,2,h,H,H,1,9.5
24,pursuit,2,i,I,I,1,9.5
24,pursuit,2,j,J,I,0,9.5
24,pursuit,2,k,K,K,1,9.5
24,pursuit,2,l,L,L,1,9.5
24,pursuit,2,m,M,M,1,9.5
24,pursuit,2,n,N,N,1,9.5
24,pursuit,2,o,O,O,1,9.5
24,pursuit,2,p,P,P,1,9.5
24,pursuit,2,q,Q,Q,1,9.5
24,pursuit,2,r,R,R,1,9.5
25,pursuit,2,a,A,A,1,9.5
25,pursuit,2,b,B,B,1,9.5
25,pursuit,2,c,C,C,1,9.5
25,pursuit,2,d,D,N,0,9.5
25,pursuit,2,e,E,E,1,9.5
25,pursuit,2,f,F,F,1,9.5
25,pursuit,2,g,G,G,1,9.5
25,pursuit,2,h,H,H,1,9.5
25,pursuit,2,i,I,I,1,9.5
25,pursuit,2,j,J,J,1,9.5
25,pursuit,2,k,K,K,1,9.5
25,pursuit,2,l,L,L,1,9.5
25,pursuit,2,m,M,M,1,9.5
25,pursuit,2,n,N,N,1,9.5
25,pursuit,2,o,O,O,1,9.5
25,pursuit,2,p,P,B,0,9.5
25,pursuit,2,q,Q,Q,1,9.5
25,pursuit,2,r,R,R,1,9.5
26,pursuit,2,a,A,A,1,9.5
26,pursuit,2,b,B,B,1,9.5
26,pursuit,2,c,C,C,1,9.5
26,pursuit,2,d,D,D,1,9.5
26,pursuit,2,e,E,E,1,9.5
26,pursuit,2,f,F,F,1,9.5
26,pursuit,2,g,G,G,1,9.5
26,pursuit,2,h,H,N,0,9.5
26,pursuit,2,i,I,I,1,9.5
26,pursuit,2,j,J,J,1,9.5
26,pursuit,2,k,K,R,0,9.5
26,pursuit,2,l,L,L,1,9.5
26,pursuit,2,m,M,M,1,9.5
26,pursuit,2,n,N,N,1,9.5
26,pursuit,2,o,O,O,1,9.5
26,pursuit,2,p,P,P,1,9.5
26,pursuit,2,q,Q,Q,1,9.5
26,pursuit,2,r,R,R,1,9.5
27,pursuit,2,a,A,A,1,9.5
27,pursuit,2,b,B,B,1,9.5
27,pursuit,2,c,C,C,1,9.5
27,pursuit,2,d,D,D,1,9.5
27,pursuit,2,e,E,E,1,9.5
27,pursuit,2,f,F,F,1,9.5
27,pursuit,2,g,G,G,1,9.5
27,pursuit,2,h,H,H,1,9.5
27,pursuit,2,i,I,I,1,9.5
27,pursuit,2,j,J,J,1,9.5
27,pursuit,2,k,K,K,1,9.5
27,pursuit,2,l,L,L,1,9.5
27,pursuit,2,m,M,M,1,9.5
27,pursuit,2,n,N,N,1,9.5
27,pursuit,2,o,O,O,1,9.5
27,pursuit,2,p,P,P,1,9.5
27,pursuit,2,q,Q,Q,1,9.5
27,pursuit,2,r,R,R,1,9.5
28,pursuit,2,a,A,A,1,9.5
28,pursuit,2,b,B,B,1,9.5
28,pursuit,2,c,C,C,1,9.5
28,pursuit,2,d,D,D,1,9.5
28,pursuit,2,e,E,E,1,9.5
28,pursuit,2,f,F,F,1,9.5
28,pursuit,2,g,G,G,1,9.5
28,pursuit,2,h,H,H,1,9.5
28,pursuit,2,i,I,I,1,9.5
28,pursuit,2,j,J,J,1,9.5
28,pursuit,2,k,K,K,1,9.5
28,pursuit,2,l,L,L,1,9.5
28,pursuit,2,m,M,M,1,9.5
28,pursuit,2,n,N,N,1,9.5
28,pursuit,2,o,O,O,1,9.5
28,pursuit,2,p,P,P,1,9.5
28,pursuit,2,q,Q,Q,1,9.5
28,pursuit,2,r,R,R,1,9.5
29,pursuit,2,a,A,A,1,9.5
29,pursuit,2,b,B,B,1,9.5
29,pursuit,2,c,C,C,1,9.5
29,pursuit,2,d,D,D,1,9.5
29,pursuit,2,e,E,G,0,9.5
29,pursuit,2,f,F,F,1,9.5
29,pursuit,2,g,G,G,1,9.5
29,pursuit,2,h,H,H,1,9.5
29,pursuit,2,i,I,I,1,9.5
29,pursuit,2,j,J,J,1,9.5
29,pursuit,2,k,K,K,1,9.5
29,pursuit,2,l,L,L,1,9.5
29,pursuit,2,m,M,M,1,9.5
29,pursuit,2,n,N,N,1,9.5
29,pursuit,2,o,O,G,0,9.5
29,pursuit,2,p,P,P,1,9.5
29,pursuit,2,q,Q,Q,1,9.5
29,pursuit,2,r,R,R,1,9.5
30,pursuit,2,a,A,A,1,9.5
30,pursuit,2,b,B,B,1,9.5
30,pursuit,2,c,C,O,0,9.5
30,pursuit,2,d,D,G,0,9.5
30,pursuit,2,e,E,E,1,9.5
30,pursuit,2,f,F,F,1,9.5
30,pursuit,2,g,G,G,1,9.5
30,pursuit,2,h,H,H,1,9.5
30,pursuit,2,i,I,I,1,9.5
30,pursuit,2,j,J,J,1,9.5
30,pursuit,2,k,K,K,1,9.5
30,pursuit,2,l,L,L,1,9.5
30,pursuit,2,m,M,B,0,9.5
30,pursuit,2,n,N,N,1,9.5
30,pursuit,2,o,O,O,1,9.5
30,pursuit,2,p,P,P,1,9.5
30,pursuit,2,q,Q,Q,1,9.5
30,pursuit,2,r,R,R,1,9.5
31,pursuit,2,a,A,A,1,9.5
31,pursuit,2,b,B,B,1,9.5
31,pursuit,2,c,C,C,1,9.5
31,pursuit,2,d,D,E,0,9.5
31,pursuit,2,e,E,E,1,9.5
31,pursuit,2,f,F,F,1,9.5
31,pursuit,2,g,G,G,1,9.5
31,pursuit,2,h,H,H,1,9.5
31,pursuit,2,i,I,I,1,9.5
31,pursuit,2,j,J,J,1,9.5
31,pursuit,2,k,K,K,1,9.5
31,pursuit,2,l,L,L,1,9.5
31,pursuit,2,m,M,M,1,9.5
31,pursuit,2,n,N,N,1,9.5
31,pursuit,2,o,O,O,1,9.5
31,pursuit,2,p,P,M,0,9.5
31,pursuit,2,q,Q,Q,1,9.5
31,pursuit,2,r,R,R,1,9.5
32,pursuit,2,a,A,B,0,9.5
32,pursuit,2,b,B,B,1,9.5
32,pursuit,2,c,C,C,1,9.5
32,pursuit,2,d,D,D,1,9.5
32,pursuit,2,e,E,E,1,9.5
32,pursuit,2,f,F,F,1,9.5
32,pursuit,2,g,G,G,1,9.5
32,pursuit,2,h,H,H,1,9.5
32,pursuit,2,i,I,P,0,9.5
32,pursuit,2,j,J,G,0,9.5
32,pursuit,2,k,K,K,1,9.5
32,pursuit,2,l,L,L,1,9.5
32,pursuit,2,m,M,M,1,9.5
32,pursuit,2,n,N,N,1,9.5
32,pursuit,2,o,O,O,1,9.5
32,pursuit,2,p,P,P,1,9.5
32,pursuit,2,q,Q,Q,1,9.5
32,pursuit,2,r,R,R,1,9.5
33,pursuit,2,a,A,A,1,9.5
33,pursuit,2,b,B,B,1,9.5
33,pursuit,2,c,C,C,1,9.5
33,pursuit,2,d,D,D,1,9.5
33,pursuit,2,e,E,E,1,9.5
33,pursuit,2,f,F,F,1,9.5
33,pursuit,2,g,G,G,1,9.5
33,pursuit,2,h,H,H,1,9.5
33,pursuit,2,i,I,C,0,9.5
33,pursuit,2,j,J,J,1,9.5
33,pursuit,2,k,K,K,1,9.5
33,pursuit,2,l,L,L,1,9.5
33,pursuit,2,m,M,M,1,9.5
33,pursuit,2,n,N,G,0,9.5
33,pursuit,2,o,O,O,1,9.5
33,pursuit,2,p,P,P,1,9.5
33,pursuit,2,q,Q,Q,1,9.5
33,pursuit,2,r,R,R,1,9.5
34,pursuit,2,a,A,A,1,9.5
34,pursuit,2,b,B,B,1,9.5
34,pursuit,2,c,C,C,1,9.5
34,pursuit,2,d,D,D,1,9.5
34,pursuit,2,e,E,E,1,9.5
34,pursuit,2,f,F,F,1,9.5
34,pursuit,2,g,G,G,1,9.5
34,pursuit,2,h,H,H,1,9.5
34,pursuit,2,i,I,H,0,9.5
34,pursuit,2,j,J,J,1,9.5
34,pursuit,2,k,K,K,1,9.5
34,pursuit,2,l,L,L,1,9.5
34,pursuit,2,m,M,M,1,9.5
34,pursuit,2,n,N,G,0,9.5
34,pursuit,2,o,O,O,1,9.5
34,pursuit,2,p,P,P,1,9.5
34,pursuit,2,q,Q,Q,1,9.5
34,pursuit,2,r,R,R,1,9.5
35,pursuit,2,a,A,A,1,9.5
35,pursuit,2,b,B,B,1,9.5
35,pursuit,2,c,C,C,1,9.5
35,pursuit,2,d,D,D,1,9.5
35,pursuit,2,e,E,E,1,9.5
35,pursuit,2,f,F,F,1,9.5
35,pursuit,2,g,G,G,1,9.5
35,pursuit,2,h,H,H,1,9.5
35,pursuit,2,i,I,I,1,9.5
35,pursuit,2,j,J,J,1,9.5
35,pursuit,2,k,K,K,1,9.5
35,pursuit,2,l,L,L,1,9.5
35,pursuit,2,m,M,M,1,9.5
35,pursuit,2,n,N,N,1,9.5
35,pursuit,2,o,O,O,1,9.5
35,pursuit,2,p,P,P,1,9.5
35,pursuit,2,q,Q,Q,1,9.5
35,pursuit,2,r,R,R,1,9.5
36,pursuit,2,a,A,A,1,9.5
36,pursuit,2,b,B,B,1,9.5
36,pursuit,2,c,C,C,1,9.5
36,pursuit,2,d,D,D,1,9.5
36,pursuit,2,e,E,E,1,9.5
36,pursuit,2,f,F,F,1,9.5
36,pursuit,2,g,G,Q,0,9.5
36,pursuit,2,h,H,H,1,9.5
36,pursuit,2,i,I,I,1,9.5
36,pursuit,2,j,J,J,1,9.5
36,pursuit,2,k,K,K,1,9.5
36,pursuit,2,l,L,L,1,9.5
36,pursuit,2,m,M,M,1,9.5
