sample,model,condition,words,meanings,response,accuracy,memory_size
4,trace_0.5,2,c,C,C,1,4.25
4,trace_0.5,2,d,D,D,1,4.25
4,trace_0.5,2,e,E,E,1,4.25
4,trace_0.5,2,f,F,F,1,4.25
4,trace_0.5,2,g,G,G,1,4.25
4,trace_0.5,2,h,H,H,1,4.25
4,trace_0.5,2,i,I,I,1,4.25
4,trace_0.5,2,j,J,J,1,4.25
4,trace_0.5,2,k,K,K,1,4.25
4,trace_0.5,2,l,L,L,1,4.25
4,trace_0.5,2,m,M,M,1,4.25
4,trace_0.5,2,n,N,N,1,4.25
4,trace_0.5,2,o,O,O,1,4.25
4,trace_0.5,2,p,P,P,1,4.25
4,trace_0.5,2,q,Q,Q,1,4.25
4,trace_0.5,2,r,R,R,1,4.25
5,trace_0.5,2,a,A,A,1,4.25
5,trace_0.5,2,b,B,B,1,4.25
5,trace_0.5,2,c,C,C,1,4.25
5,trace_0.5,2,d,D,D,1,4.25
5,trace_0.5,2,e,E,E,1,4.25
5,trace_0.5,2,f,F,F,1,4.25
5,trace_0.5,2,g,G,G,1,4.25
5,trace_0.5,2,h,H,H,1,4.25
5,trace_0.5,2,i,I,I,1,4.25
5,trace_0.5,2,j,J,J,1,4.25
5,trace_0.5,2,k,K,K,1,4.25
5,trace_0.5,2,l,L,L,1,4.25
5,trace_0.5,2,m,M,M,1,4.25
5,trace_0.5,2,n,N,N,1,4.25
5,trace_0.5,2,o,O,O,1,4.25
5,trace_0.5,2,p,P,P,1,4.25
5,trace_0.5,2,q,Q,Q,1,4.25
5,trace_0.5,2,r,R,R,1,4.25
6,trace_0.5,2,a,A,A,1,4.25
6,trace_0.5,2,b,B,B,1,4.25
6,trace_0.5,2,c,C,C,1,4.25
6,trace_0.5,2,d,D,D,1,4.25
6,trace_0.5,2,e,E,E,1,4.25
6,trace_0.5,2,f,F,F,1,4.25
6,trace_0.5,2,g,G,G,1,4.25
6,trace_0.5,2,h,H,H,1,4.25
6,trace_0.5,2,i,I,I,1,4.25
6,trace_0.5,2,j,J,J,1,4.25
6,trace_0.5,2,k,K,K,1,4.25
6,trace_0.5,2,l,L,L,1,4.25
6,trace_0.5,2,m,M,M,1,4.25
6,trace_0.5,2,n,N,N,1,4.25
6,trace_0.5,2,o,O,O,1,4.25
6,trace_0.5,2,p,P,P,1,4.25
6,trace_0.5,2,q,Q,Q,1,4.25
6,trace_0.5,2,r,R,R,1,4.25
7,trace_0.5,2,a,A,A,1,4.25
7,trace_0.5,2,b,B,B,1,4.25
7,trace_0.5,2,c,C,C,1,4.25
7,trace_0.5,2,d,D,D,1,4.25
7,trace_0.5,2,e,E,B,0,4.25
7,trace_0.5,2,f,F,F,1,4.25
7,trace_0.5,2,g,G,G,1,4.25
7,trace_0.5,2,h,H,H,1,4.25
7,trace_0.5,2,i,I,I,1,4.25
7,trace_0.5,2,j,J,J,1,4.25
7,trace_0.5,2,k,K,K,1,4.25
7,trace_0.5,2,l,L,L,1,4.25
7,trace_0.5,2,m,M,M,1,4.25
7,trace_0.5,2,n,N,N,1,4.25
7,trace_0.5,2,o,O,O,1,4.25
7,trace_0.5,2,p,P,P,1,4.25
7,trace_0.5,2,q,Q,Q,1,4.25
7,trace_0.5,2,r,R,R,1,4.25
8,trace_0.5,2,a,A,A,1,4.25
8,trace_0.5,2,b,B,B,1,4.25
8,trace_0.5,2,c,C,C,1,4.25
8,trace_0.5,2,d,D,D,1,4.25
8,trace_0.5,2,e,E,E,1,4.25
8,trace_0.5,2,f,F,F,1,4.25
8,trace_0.5,2,g,G,C,0,4.25
8,trace_0.5,2,h,H,H,1,4.25
8,trace_0.5,2,i,I,I,1,4.25
8,trace_0.5,2,j,J,J,1,4.25
8,trace_0.5,2,k,K,K,1,4.25
8,trace_0.5,2,l,L,L,1,4.25
8,trace_0.5,2,m,M,M,1,4.25
8,trace_0.5,2,n,N,N,1,4.25
8,trace_0.5,2,o,O,O,1,4.25
8,trace_0.5,2,p,P,P,1,4.25
8,trace_0.5,2,q,Q,Q,1,4.25
8,trace_0.5,2,r,R,R,1,4.25
9,trace_0.5,2,a,A,A,1,4.25
9,trace_0.5,2,b,B,B,1,4.25
9,trace_0.5,2,c,C,C,1,4.25
9,trace_0.5,2,d,D,D,1,4.25
9,trace_0.5,2,e,E,E,1,4.25
9,trace_0.5,2,f,F,F,1,4.25
9,trace_0.5,2,g,G,R,0,4.25
9,trace_0.5,2,h,H,H,1,4.25
9,trace_0.5,2,i,I,I,1,4.25
9,trace_0.5,2,j,J,J,1,4.25
9,trace_0.5,2,k,K,K,1,4.25
9,trace_0.5,2,l,L,L,1,4.25
9,trace_0.5,2,m,M,M,1,4.25
9,trace_0.5,2,n,N,N,1,4.25
9,trace_0.5,2,o,O,O,1,4.25
9,trace_0.5,2,p,P,P,1,4.25
9,trace_0.5,2,q,Q,Q,1,4.25
9,trace_0.5,2,r,R,R,1,4.25
10,trace_0.5,2,a,A,A,1,4.25
10,trace_0.5,2,b,B,B,1,4.25
10,trace_0.5,2,c,C,C,1,4.25
10,trace_0.5,2,d,D,D,1,4.25
10,trace_0.5,2,e,E,E,1,4.25
10,trace_0.5,2,f,F,F,1,4.25
10,trace_0.5,2,g,G,G,1,4.25
10,trace_0.5,2,h,H,H,1,4.25
10,trace_0.5,2,i,I,I,1,4.25
10,trace_0.5,2,j,J,E,0,4.25
10,trace_0.5,2,k,K,K,1,4.25
10,trace_0.5,2,l,L,L,1,4.25
10,trace_0.5,2,m,M,M,1,4.25
10,trace_0.5,2,n,N,N,1,4.25
10,trace_0.5,2,o,O,O,1,4.25
10,trace_0.5,2,p,P,P,1,4.25
10,trace_0.5,2,q,Q,Q,1,4.25
10,trace_0.5,2,r,R,R,1,4.25
11,trace_0.5,2,a,A,A,1,4.25
11,trace_0.5,2,b,B,B,1,4.25
11,trace_0.5,2,c,C,N,0,4.25
11,trace_0.5,2,d,D,D,1,4.25
11,trace_0.5,2,e,E,E,1,4.25
11,trace_0.5,2,f,F,F,1,4.25
11,trace_0.5,2,g,G,G,1,4.25
11,trace_0.5,2,h,H,H,1,4.25
11,trace_0.5,2,i,I,I,1,4.25
11,trace_0.5,2,j,J,J,1,4.25
11,trace_0.5,2,k,K,K,1,4.25
11,trace_0.5,2,l,L,L,1,4.25
11,trace_0.5,2,m,M,M,1,4.25
11,trace_0.5,2,n,N,N,1,4.25
11,trace_0.5,2,o,O,O,1,4.25
11,trace_0.5,2,p,P,P,1,4.25
11,trace_0.5,2,q,Q,Q,1,4.25
11,trace_0.5,2,r,R,R,1,4.25
12,trace_0.5,2,a,A,A,1,4.25
12,trace_0.5,2,b,B,B,1,4.25
12,trace_0.5,2,c,C,C,1,4.25
12,trace_0.5,2,d,D,D,1,4.25
12,trace_0.5,2,e,E,E,1,4.25
12,trace_0.5,2,f,F,F,1,4.25
12,trace_0.5,2,g,G,G,1,4.25
12,trace_0.5,2,h,H,H,1,4.25
12,trace_0.5,2,i,I,I,1,4.25
12,trace_0.5,2,j,J,J,1,4.25
12,trace_0.5,2,k,K,K,1,4.25
12,trace_0.5,2,l,L,L,1,4.25
12,trace_0.5,2,m,M,M,1,4.25
12,trace_0.5,2,n,N,N,1,4.25
12,trace_0.5,2,o,O,O,1,4.25
12,trace_0.5,2,p,P,P,1,4.25
12,trace_0.5,2,q,Q,Q,1,4.25
12,trace_0.5,2,r,R,R,1,4.25
13,trace_0.5,2,a,A,A,1,4.25
13,trace_0.5,2,b,B,B,1,4.25
13,trace_0.5,2,c,C,C,1,4.25
13,trace_0.5,2,d,D,D,1,4.25
13,trace_0.5,2,e,E,E,1,4.25
13,trace_0.5,2,f,F,F,1,4.25
13,trace_0.5,2,g,G,G,1,4.25
13,trace_0.5,2,h,H,H,1,4.25
13,trace_0.5,2,i,I,I,1,4.25
13,trace_0.5,2,j,J,J,1,4.25
13,trace_0.5,2,k,K,K,1,4.25
13,trace_0.5,2,l,L,L,1,4.25
13,trace_0.5,2,m,M,M,1,4.25
13,trace_0.5,2,n,N,N,1,4.25
13,trace_0.5,2,o,O,O,1,4.25
13,trace_0.5,2,p,P,P,1,4.25
13,trace_0.5,2,q,Q,Q,1,4.25
13,trace_0.5,2,r,R,R,1,4.25
14,trace_0.5,2,a,A,A,1,4.25
14,trace_0.5,2,b,B,B,1,4.25
14,trace_0.5,2,c,C,C,1,4.25
14,trace_0.5,2,d,D,D,1,4.25
14,trace_0.5,2,e,E,E,1,4.25
14,trace_0.5,2,f,F,F,1,4.25
14,trace_0.5,2,g,G,G,1,4.25
14,trace_0.5,2,h,H,H,1,4.25
14,trace_0.5,2,i,I,I,1,4.25
14,trace_0.5,2,j,J,J,1,4.25
14,trace_0.5,2,k,K,K,1,4.25
14,trace_0.5,2,l,L,L,1,4.25
14,trace_0.5,2,m,M,M,1,4.25
14,trace_0.5,2,n,N,N,1,4.25
14,trace_0.5,2,o,O,O,1,4.25
14,trace_0.5,2,p,P,P,1,4.25
14,trace_0.5,2,q,Q,Q,1,4.25
14,trace_0.5,2,r,R,R,1,4.25
15,trace_0.5,2,a,A,A,1,4.25
15,trace_0.5,2,b,B,B,1,4.25
15,trace_0.5,2,c,C,C,1,4.25
15,trace_0.5,2,d,D,D,1,4.25
15,trace_0.5,2,e,E,E,1,4.25
15,trace_0.5,2,f,F,F,1,4.25
15,trace_0.5,2,g,G,G,1,4.25
15,trace_0.5,2,h,H,H,1,4.25
15,trace_0.5,2,i,I,I,1,4.25
15,trace_0.5,2,j,J,J,1,4.25
15,trace_0.5,2,k,K,K,1,4.25
15,trace_0.5,2,l,L,L,1,4.25
15,trace_0.5,2,m,M,M,1,4.25
15,trace_0.5,2,n,N,N,1,4.25
15,trace_0.5,2,o,O,O,1,4.25
15,trace_0.5,2,p,P,P,1,4.25
15,trace_0.5,2,q,Q,Q,1,4.25
15,trace_0.5,2,r,R,R,1,4.25
16,trace_0.5,2,a,A,A,1,4.25
16,trace_0.5,2,b,B,B,1,4.25
16,trace_0.5,2,c,C,C,1,4.25
16,trace_0.5,2,d,D,D,1,4.25
16,trace_0.5,2,e,E,E,1,4.25
16,trace_0.5,2,f,F,F,1,4.25
16,trace_0.5,2,g,G,G,1,4.25
16,trace_0.5,2,h,H,H,1,4.25
16,trace_0.5,2,i,I,I,1,4.25
16,trace_0.5,2,j,J,J,1,4.25
16,trace_0.5,2,k,K,K,1,4.25
16,trace_0.5,2,l,L,L,1,4.25
16,trace_0.5,2,m,M,M,1,4.25
16,trace_0.5,2,n,N,N,1,4.25
16,trace_0.5,2,o,O,O,1,4.25
16,trace_0.5,2,p,P,P,1,4.25
16,trace_0.5,2,q,Q,Q,1,4.25
16,trace_0.5,2,r,R,R,1,4.25
17,trace_0.5,2,a,A,A,1,4.25
17,trace_0.5,2,b,B,B,1,4.25
17,trace_0.5,2,c,C,C,1,4.25
17,trace_0.5,2,d,D,D,1,4.25
17,trace_0.5,2,e,E,E,1,4.25
17,trace_0.5,2,f,F,F,1,4.25
17,trace_0.5,2,g,G,G,1,4.25
17,trace_0.5,2,h,H,H,1,4.25
17,trace_0.5,2,i,I,I,1,4.25
17,trace_0.5,2,j,J,J,1,4.25
17,trace_0.5,2,k,K,K,1,4.25
17,trace_0.5,2,l,L,L,1,4.25
17,trace_0.5,2,m,M,M,1,4.25
17,trace_0.5,2,n,N,N,1,4.25
17,trace_0.5,2,o,O,O,1,4.25
17,trace_0.5,2,p,P,P,1,4.25
17,trace_0.5,2,q,Q,Q,1,4.25
17,trace_0.5,2,r,R,R,1,4.25
18,trace_0.5,2,a,A,A,1,4.25
18,trace_0.5,2,b,B,B,1,4.25
18,trace_0.5,2,c,C,C,1,4.25
18,trace_0.5,2,d,D,D,1,4.25
18,trace_0.5,2,e,E,E,1,4.25
18,trace_0.5,2,f,F,F,1,4.25
18,trace_0.5,2,g,G,G,1,4.25
18,trace_0.5,2,h,H,H,1,4.25
18,trace_0.5,2,i,I,I,1,4.25
18,trace_0.5,2,j,J,J,1,4.25
18,trace_0.5,2,k,K,K,1,4.25
18,trace_0.5,2,l,L,L,1,4.25
18,trace_0.5,2,m,M,M,1,4.25
18,trace_0.5,2,n,N,N,1,4.25
18,trace_0.5,2,o,O,O,1,4.25
18,trace_0.5,2,p,P,P,1,4.25
18,trace_0.5,2,q,Q,Q,1,4.25
18,trace_0.5,2,r,R,R,1,4.25
19,trace_0.5,2,a,A,A,1,4.25
19,trace_0.5,2,b,B,B,1,4.25
19,trace_0.5,2,c,C,C,1,4.25
19,trace_0.5,2,d,D,D,1,4.25
19,trace_0.5,2,e,E,E,1,4.25
19,trace_0.5,2,f,F,F,1,4.25
19,trace_0.5,2,g,G,G,1,4.25
19,trace_0.5,2,h,H,H,1,4.25
19,trace_0.5,2,i,I,I,1,4.25
19,trace_0.5,2,j,J,J,1,4.25
19,trace_0.5,2,k,K,K,1,4.25
19,trace_0.5,2,l,L,L,1,4.25
19,trace_0.5,2,m,M,M,1,4.25
19,trace_0.5,2,n,N,N,1,4.25
19,trace_0.5,2,o,O,O,1,4.25
19,trace_0.5,2,p,P,P,1,4.25
19,trace_0.5,2,q,Q,Q,1,4.25
19,trace_0.5,2,r,R,R,1,4.25
20,trace_0.5,2,a,A,A,1,4.25
20,trace_0.5,2,b,B,B,1,4.25
20,trace_0.5,2,c,C,C,1,4.25
20,trace_0.5,2,d,D,D,1,4.25
20,trace_0.5,2,e,E,E,1,4.25
20,trace_0.5,2,f,F,F,1,4.25
20,trace_0.5,2,g,G,G,1,4.25
20,trace_0.5,2,h,H,H,1,4.25
20,trace_0.5,2,i,I,I,1,4.25
20,trace_0.5,2,j,J,J,1,4.25
20,trace_0.5,2,k,K,K,1,4.25
20,trace_0.5,2,l,L,L,1,4.25
20,trace_0.5,2,m,M,M,1,4.25
20,trace_0.5,2,n,N,N,1,4.25
20,trace_0.5,2,o,O,O,1,4.25
20,trace_0.5,2,p,P,P,1,4.25
20,trace_0.5,2,q,Q,Q,1,4.25
20,trace_0.5,2,r,R,R,1,4.25
21,trace_0.5,2,a,A,A,1,4.25
21,trace_0.5,2,b,B,B,1,4.25
21,trace_0.5,2,c,C,C,1,4.25
21,trace_0.5,2,d,D,D,1,4.25
21,trace_0.5,2,e,E,E,1,4.25
21,trace_0.5,2,f,F,F,1,4.25
21,trace_0.5,2,g,G,G,1,4.25
21,trace_0.5,2,h,H,H,1,4.25
21,trace_0.5,2,i,I,I,1,4.25
21,trace_0.5,2,j,J,J,1,4.25
21,trace_0.5,2,k,K,K,1,4.25
21,trace_0.5,2,l,L,L,1,4.25
21,trace_0.5,2,m,M,M,1,4.25
21,trace_0.5,2,n,N,N,1,4.25
21,trace_0.5,2,o,O,O,1,4.25
21,trace_0.5,2,p,P,P,1,4.25
21,trace_0.5,2,q,Q,I,0,4.25
21,trace_0.5,2,r,R,R,1,4.25
22,trace_0.5,2,a,A,A,1,4.25
22,trace_0.5,2,b,B,B,1,4.25
22,trace_0.5,2,c,C,C,1,4.25
22,trace_0.5,2,d,D,D,1,4.25
22,trace_0.5,2,e,E,E,1,4.25
22,trace_0.5,2,f,F,F,1,4.25
22,trace_0.5,2,g,G,G,1,4.25
22,trace_0.5,2,h,H,H,1,4.25
22,trace_0.5,2,i,I,I,1,4.25
22,trace_0.5,2,j,J,J,1,4.25
22,trace_0.5,2,k,K,K,1,4.25
22,trace_0.5,2,l,L,L,1,4.25
22,trace_0.5,2,m,M,M,1,4.25
22,trace_0.5,2,n,N,N,1,4.25
22,trace_0.5,2,o,O,O,1,4.25
22,trace_0.5,2,p,P,P,1,4.25
22,trace_0.5,2,q,Q,Q,1,4.25
22,trace_0.5,2,r,R,R,1,4.25
23,trace_0.5,2,a,A,A,1,4.25
23,trace_0.5,2,b,B,B,1,4.25
23,trace_0.5,2,c,C,C,1,4.25
23,trace_0.5,2,d,D,D,1,4.25
23,trace_0.5,2,e,E,E,1,4.25
23,trace_0.5,2,f,F,F,1,4.25
23,trace_0.5,2,g,G,G,1,4.25
23,trace_0.5,2,h,H,H,1,4.25
23,trace_0.5,2,i,I,I,1,4.25
23,trace_0.5,2,j,J,J,1,4.25
23,trace_0.5,2,k,K,K,1,4.25
23,trace_0.5,2,l,L,L,1,4.25
23,trace_0.5,2,m,M,M,1,4.25
23,trace_0.5,2,n,N,N,1,4.25
23,trace_0.5,2,o,O,O,1,4.25
23,trace_0.5,2,p,P,P,1,4.25
23,trace_0.5,2,q,Q,Q,1,4.25
23,trace_0.5,2,r,R,R,1,4.25
24,trace_0.5,2,a,A,A,1,4.25
24,trace_0.5,2,b,B,B,1,4.25
24,trace_0.5,2,c,C,C,1,4.25
24,trace_0.5,2,d,D,D,1,4.25
24,trace_0.5,2,e,E,E,1,4.25
24,trace_0.5,2,f,F,F,1,4.25
24,trace_0.5,2,g,G,G,1,4.25
24,trace_0.5,2,h,H,H,1,4.25
24,trace_0.5,2,i,I,I,1,4.25
24,trace_0.5,2,j,J,J,1,4.25
24,trace_0.5,2,k,K,K,1,4.25
24,trace_0.5,2,l,L,L,1,4.25
24,trace_0.5,2,m,M,M,1,4.25
24,trace_0.5,2,n,N,N,1,4.25
24,trace_0.5,2,o,O,O,1,4.25
24,trace_0.5,2,p,P,P,1,4.25
24,trace_0.5,2,q,Q,Q,1,4.25
24,trace_0.5,2,r,R,R,1,4.25
25,trace_0.5,2,a,A,A,1,4.25
25,trace_0.5,2,b,B,B,1,4.25
25,trace_0.5,2,c,C,C,1,4.25
25,trace_0.5,2,d,D,D,1,4.25
25,trace_0.5,2,e,E,E,1,4.25
25,trace_0.5,2,f,F,F,1,4.25
25,trace_0.5,2,g,G,G,1,4.25
25,trace_0.5,2,h,H,H,1,4.25
25,trace_0.5,2,i,I,I,1,4.25
25,trace_0.5,2,j,J,J,1,4.25
25,trace_0.5,2,k,K,K,1,4.25
25,trace_0.5,2,l,L,L,1,4.25
25,trace_0.5,2,m,M,M,1,4.25
25,trace_0.5,2,n,N,N,1,4.25
25,trace_0.5,2,o,O,O,1,4.25
25,trace_0.5,2,p,P,P,1,4.25
25,trace_0.5,2,q,Q,Q,1,4.25
25,trace_0.5,2,r,R,R,1,4.25
26,trace_0.5,2,a,A,A,1,4.25
26,trace_0.5,2,b,B,B,1,4.25
26,trace_0.5,2,c,C,C,1,4.25
26,trace_0.5,2,d,D,D,1,4.25
26,trace_0.5,2,e,E,E,1,4.25
26,trace_0.5,2,f,F,F,1,4.25
26,trace_0.5,2,g,G,G,1,4.25
26,trace_0.5,2,h,H,H,1,4.25
26,trace_0.5,2,i,I,I,1,4.25
26,trace_0.5,2,j,J,J,1,4.25
26,trace_0.5,2,k,K,K,1,4.25
26,trace_0.5,2,l,L,L,1,4.25
26,trace_0.5,2,m,M,M,1,4.25
26,trace_0.5,2,n,N,N,1,4.25
26,trace_0.5,2,o,O,O,1,4.25
26,trace_0.5,2,p,P,P,1,4.25
26,trace_0.5,2,q,Q,Q,1,4.25
26,trace_0.5,2,r,R,R,1,4.25
27,trace_0.5,2,a,A,A,1,4.25
27,trace_0.5,2,b,B,B,1,4.25
27,trace_0.5,2,c,C,C,1,4.25
27,trace_0.5,2,d,D,D,1,4.25
27,trace_0.5,2,e,E,E,1,4.25
27,trace_0.5,2,f,F,F,1,4.25
27,trace_0.5,2,g,G,G,1,4.25
27,trace_0.5,2,h,H,H,1,4.25
27,trace_0.5,2,i,I,I,1,4.25
27,trace_0.5,2,j,J,J,1,4.25
27,trace_0.5,2,k,K,K,1,4.25
27,trace_0.5,2,l,L,L,1,4.25
27,trace_0.5,2,m,M,M,1,4.25
27,trace_0.5,2,n,N,N,1,4.25
27,trace_0.5,2,o,O,O,1,4.25
27,trace_0.5,2,p,P,P,1,4.25
27,trace_0.5,2,q,Q,Q,1,4.25
27,trace_0.5,2,r,R,R,1,4.25
28,trace_0.5,2,a,A,A,1,4.25
28,trace_0.5,2,b,B,B,1,4.25
28,trace_0.5,2,c,C,C,1,4.25
28,trace_0.5,2,d,D,D,1,4.25
28,trace_0.5,2,e,E,E,1,4.25
28,trace_0.5,2,f,F,L,0,4.25
28,trace_0.5,2,g,G,G,1,4.25
28,trace_0.5,2,h,H,H,1,4.25
28,trace_0.5,2,i,I,I,1,4.25
28,trace_0.5,2,j,J,J,1,4.25
28,trace_0.5,2,k,K,K,1,4.25
28,trace_0.5,2,l,L,L,1,4.25
28,trace_0.5,2,m,M,M,1,4.25
28,trace_0.5,2,n,N,N,1,4.25
28,trace_0.5,2,o,O,O,1,4.25
28,trace_0.5,2,p,P,P,1,4.25
28,trace_0.5,2,q,Q,Q,1,4.25
28,trace_0.5,2,r,R,R,1,4.25
29,trace_0.5,2,a,A,A,1,4.25
29,trace_0.5,2,b,B,B,1,4.25
29,trace_0.5,2,c,C,C,1,4.25
29,trace_0.5,2,d,D,D,1,4.25
29,trace_0.5,2,e,E,E,1,4.25
29,trace_0.5,2,f,F,F,1,4.25
29,trace_0.5,2,g,G,G,1,4.25
29,trace_0.5,2,h,H,H,1,4.25
29,trace_0.5,2,i,I,I,1,4.25
29,trace_0.5,2,j,J,J,1,4.25
29,trace_0.5,2,k,K,K,1,4.25
29,trace_0.5,2,l,L,L,1,4.25
29,trace_0.5,2,m,M,M,1,4.25
29,trace_0.5,2,n,N,N,1,4.25
29,trace_0.5,2,o,O,O,1,4.25
29,trace_0.5,2,p,P,P,1,4.25
29,trace_0.5,2,q,Q,Q,1,4.25
29,trace_0.5,2,r,R,R,1,4.25
30,trace_0.5,2,a,A,A,1,4.25
30,trace_0.5,2,b,B,B,1,4.25
30,trace_0.5,2,c,C,C,1,4.25
30,trace_0.5,2,d,D,D,1,4.25
30,trace_0.5,2,e,E,E,1,4.25
30,trace_0.5,2,f,F,F,1,4.25
30,trace_0.5,2,g,G,G,1,4.25
30,trace_0.5,2,h,H,H,1,4.25
30,trace_0.5,2,i,I,I,1,4.25
30,trace_0.5,2,j,J,J,1,4.25
30,trace_0.5,2,k,K,K,1,4.25
30,trace_0.5,2,l,L,L,1,4.25
30,trace_0.5,2,m,M,M,1,4.25
30,trace_0.5,2,n,N,N,1,4.25
30,trace_0.5,2,o,O,O,1,4.25
30,trace_0.5,2,p,P,P,1,4.25
30,trace_0.5,2,q,Q,Q,1,4.25
30,trace_0.5,2,r,R,R,1,4.25
31,trace_0.5,2,a,A,A,1,4.25
31,trace_0.5,2,b,B,B,1,4.25
31,trace_0.5,2,c,C,C,1,4.25
31,trace_0.5,2,d,D,D,1,4.25
31,trace_0.5,2,e,E,E,1,4.25
31,trace_0.5,2,f,F,F,1,4.25
31,trace_0.5,2,g,G,G,1,4.25
31,trace_0.5,2,h,H,H,1,4.25
31,trace_0.5,2,i,I,I,1,4.25
31,trace_0.5,2,j,J,J,1,4.25
31,trace_0.5,2,k,K,K,1,4.25
31,trace_0.5,2,l,L,L,1,4.25
31,trace_0.5,2,m,M,M,1,4.25
31,trace_0.5,2,n,N,N,1,4.25
31,trace_0.5,2,o,O,O,1,4.25
31,trace_0.5,2,p,P,P,1,4.25
31,trace_0.5,2,q,Q,Q,1,4.25
31,trace_0.5,2,r,R,R,1,4.25
32,trace_0.5,2,a,A,A,1,4.25
32,trace_0.5,2,b,B,B,1,4.25
32,trace_0.5,2,c,C,C,1,4.25
32,trace_0.5,2,d,D,D,1,4.25
32,trace_0.5,2,e,E,E,1,4.25
32,trace_0.5,2,f,F,F,1,4.25
32,trace_0.5,2,g,G,G,1,4.25
32,trace_0.5,2,h,H,H,1,4.25
32,trace_0.5,2,i,I,I,1,4.25
32,trace_0.5,2,j,J,J,1,4.25
32,trace_0.5,2,k,K,E,0,4.25
32,trace_0.5,2,l,L,L,1,4.25
32,trace_0.5,2,m,M,M,1,4.25
32,trace_0.5,2,n,N,N,1,4.25
32,trace_0.5,2,o,O,O,1,4.25
32,trace_0.5,2,p,P,P,1,4.25
32,trace_0.5,2,q,Q,Q,1,4.25
32,trace_0.5,2,r,R,R,1,4.25
33,trace_0.5,2,a,A,A,1,4.25
33,trace_0.5,2,b,B,B,1,4.25
33,trace_0.5,2,c,C,C,1,4.25
33,trace_0.5,2,d,D,D,1,4.25
33,trace_0.5,2,e,E,E,1,4.25
33,trace_0.5,2,f,F,F,1,4.25
33,trace_0.5,2,g,G,G,1,4.25
33,trace_0.5,2,h,H,H,1,4.25
33,trace_0.5,2,i,I,I,1,4.25
33,trace_0.5,2,j,J,J,1,4.25
